"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","azur","yes","now","data","realli"
"2","cloud","jame","let","use","think"
"3","servic","steve","servic","model","actual"
"4","microsoft","time","data","need","busi"
"5","manag","sebastian","creat","realli","peopl"
"6","provid","work","use","work","work"
"7","network","hand","basic","system","custom"
"8","machin","ali","server","build","someth"
"9","deploy","friend","guy","product","compani"
"10","solut","life","applic","differ","now"
"11","applic","search","talk","time","question"
"12","app","sit","need","platform","time"
"13","exam","fix","ahead","talk","year"
"14","use","don","cloud","develop","don"
"15","virtual","een","instanc","support","abl"
"16","edg","hold","click","imag","start"
"17","resourc","home","file","process","good"
"18","infrastructur","heart","actual","user","learn"
"19","sql","idea","storag","actual","technolog"
"20","databa","fund","first","start","differ"
"21","privat","head","name","call","tri"
"22","softwar","guy","particular","set","use"
"23","server","master","access","experi","need"
"24","platform","ventur","call","power","help"
"25","now","bye","give","digit","googl"
"26","offer","nice","time","api","small"
"27","comput","love","move","think","thank"
"28","certif","physic","differ","bring","market"
"29","oper","place","websit","tool","mean"
"30","need","skill","work","capabl","team"
"31","connect","video","mean","inform","mani"
"32","public","school","code","chang","program"
"33","question","name","someth","engin","interest"
"34","develop","old","account","learn","invest"
"35","busi","met","process","environ","talk"
"36","custom","hai","group","contain","intellig"
"37","zone","leg","deploy","case","partner"
"38","workload","side","configur","transform","part"
"39","cost","step","understand","point","happen"
"40","perform","play","provid","cloud","mayb"
"41","learn","van","user","common","slide"
"42","iot","main","secur","help","govern"
"43","migrat","hello","resourc","mani","littl"
"44","level","die","happen","allow","better"
"45","contain","custom","web","train","build"
"46","secur","fair","tri","sourc","first"
"47","cour","kid","discuss","base","big"
"48","end","smart","amazon","built","may"
"49","hybrid","document","connect","machin","artifici"
"50","devic","weight","part","today","best"
"51","includ","bear","option","bit","opportun"
"52","stack","hope","comput","abl","comput"
"53","percent","littl","set","project","figur"
"54","exampl","peopl","case","valu","patient"
"55","abl","capit","upload","top","sort"
"56","center","control","select","essenti","machin"
"57","requir","gain","done","asset","plea"
"58","implement","mom","okay","exampl","day"
"59","analyt","world","show","don","import"
"60","start","ami","scale","end","within"
"61","integr","investor","might","now","inform"
"62","avail","yet","launch","within","number"
"63","size","autonom","databa","event","bit"
"64","core","forward","demo","give","risk"
"65","cover","ingredi","detail","name","system"
"66","enterpri","keep","store","understand","algorithm"
"67","help","live","right","open","contract"
"68","video","stand","virtual","applic","feder"
"69","autom","sturkey","chang","peopl","point"
"70","second","though","exampl","togeth","tell"
"71","third","tri","number","whole","clinic"
"72","window","cook","don","focus","research"
"73","portal","entrepreneur","yes","map","requir"
"74","scale","good","peopl","mean","cloud"
"75","drive","haider","machin","team","softwar"
"76","gpu","help","alreadi","googl","today"
"77","mobil","hey","start","littl","center"
"78","sas","lose","system","show","answer"
"79","advantag","lower","domain","workflow","offer"
"80","forward","made","copi","insight","probabl"
"81","design","readi","instal","integr","anoth"
"82","work","voor","microsoft","across","week"
"83","enabl","het","environ","creat","might"
"84","compani","pediatr","imag","world","second"
"85","access","silicon","avail","alreadi","technic"
"86","capabl","thank","network","languag","area"
"87","function","valley","bucket","manag","alway"
"88","answer","come","load","perspect","case"
"89","key","god","specifi","last","meet"
"90","premi","hard","free","oper","cour"
"91","technolog","knee","develop","problem","excit"
"92","continu","match","easi","specif","secur"
"93","must","mijn","session","organ","call"
"94","per","one","manag","analyt","space"
"95","region","therapist","insid","deploy","gsa"
"96","year","tone","log","featur","ask"
"97","base","barian","save","tri","bunch"
"98","web","boohey","directori","bot","human"
"99","big","eat","host","view","million"
"100","local","enough","ask","field","show"
