"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","human","now","data","data","data"
"2","certif","use","model","realli","now"
"3","het","let","use","think","valu"
"4","een","devic","custom","talk","use"
"5","client","system","build","use","let"
"6","robot","need","product","peopl","set"
"7","music","iot","develop","actual","okay"
"8","world","imag","cloud","work","learn"
"9","server","camera","applic","might","probabl"
"10","van","time","googl","time","number"
"11","intellig","differ","platform","differ","predict"
"12","univ","raspberri","servic","littl","model"
"13","think","okay","busi","tri","basic"
"14","secur","sensor","technolog","good","first"
"15","artifici","connect","power","machin","mean"
"16","point","code","user","learn","point"
"17","studi","layer","solut","someth","algorithm"
"18","tls","applic","year","mayb","variabl"
"19","year","smart","help","don","calcul"
"20","critic","first","across","emb","deci"
"21","voor","actual","analyt","sort","need"
"22","authent","help","engin","network","differ"
"23","merc","function","bring","bit","state"
"24","simpli","start","now","system","machin"
"25","video","video","start","find","regress"
"26","capit","program","realli","mean","action"
"27","generat","light","work","show","guy"
"28","post","present","thank","everi","class"
"29","design","show","experi","big","random"
"30","downey","oper","system","featur","sampl"
"31","life","face","team","question","exampl"
"32","ota","work","abl","call","node"
"33","polit","control","base","graph","reward"
"34","ethic","someth","test","exampl","train"
"35","endpoint","train","allow","certain","equal"
"36","key","inform","need","mani","actual"
"37","million","respect","process","comput","case"
"38","met","understand","today","car","understand"
"39","peopl","network","design","happen","function"
"40","planet","basic","compani","word","tree"
"41","scienc","comput","industri","abl","base"
"42","sign","process","capabl","file","find"
"43","youtub","detect","deploy","neural","room"
"44","becom","home","time","may","cluster"
"45","cell","emb","provid","technolog","move"
"46","cour","internet","sourc","document","problem"
"47","dhe","file","organ","give","estim"
"48","emerg","move","market","pretti","method"
"49","handshak","messag","day","particular","statist"
"50","institut","turn","hana","tool","final"
"51","love","click","within","space","import"
"52","creat","done","avail","human","test"
"53","virus","screen","integr","often","given"
"54","weapon","today","creat","within","similar"
"55","digit","check","exampl","doesn","line"
"56","encrypt","call","flow","need","order"
"57","earth","complet","learn","interest","matrix"
"58","public","temperatur","high","better","play"
"59","wat","board","perform","reason","particular"
"60","converg","requir","sap","report","polici"
"61","produc","case","give","research","column"
"62","alreadi","creat","import","hand","minus"
"63","exchang","instal","construct","share","question"
"64","ident","secur","offer","algorithm","exact"
"65","issu","top","talk","idea","measur"
"66","may","game","direct","done","result"
"67","signatur","softwar","enabl","type","start"
"68","social","card","interact","open","step"
"69","speci","real","visual","world","give"
"70","airport","send","connect","collect","type"
"71","gildert","support","mani","label","process"
"72","materi","insid","part","minut","time"
"73","quiz","hardwar","improv","credit","agent"
"74","attack","key","common","start","distanc"
"75","biolog","quit","open","tell","featur"
"76","centuri","low","manag","anoth","inform"
"77","cultur","speed","world","input","linear"
"78","dat","part","print","basic","squar"
"79","discuss","add","support","live","classifi"
"80","door","communic","autom","general","yes"
"81","sinc","version","music","togeth","plus"
"82","bodi","option","project","typic","possibl"
"83","futur","pass","retail","piec","don"
"84","hello","phone","scale","bunch","popul"
"85","media","chang","focus","financ","classif"
"86","student","core","includ","help","well"
"87","tradit","window","let","name","instanc"
"88","possibl","accel","point","case","defin"
"89","posthuman","talk","excit","fact","depend"
"90","recent","perform","impact","form","four"
"91","via","set","side","answer","comma"
"92","believ","tensorflow","togeth","simpl","event"
"93","cipher","tri","tool","year","perform"
"94","code","various","built","yes","part"
"95","diamond","import","partner","first","zero"
"96","die","high","transform","part","call"
"97","element","captur","access","read","discuss"
"98","establish","happen","machin","sen","known"
"99","form","manag","oper","expert","total"
"100","friend","project","save","sometim","check"
